path_tag,path_role,controller,tracking_rank_sum,perception_rank_sum,control_rank_sum,overall_rank_sum,overall_rank
path_factory_logistics_showcase_theta10_v3,industrial_factory_logistics_transport,ModernTCN,11,7,7,25,1
path_factory_logistics_showcase_theta10_v3,industrial_factory_logistics_transport,LPV-MPC_oracle_theta,7,13,6,26,2
path_factory_logistics_showcase_theta10_v3,industrial_factory_logistics_transport,TCN,19,6,19,44,3
path_factory_logistics_showcase_theta10_v3,industrial_factory_logistics_transport,GRU,23,8,14,45,4
path_factory_logistics_showcase_theta10_v3,industrial_factory_logistics_transport,LPV-MPC_IMU_theta,33,15,18,66,5
path_factory_logistics_showcase_theta10_v3,industrial_factory_logistics_transport,LPV-MPC_theta0,33,14,20,67,6
path_closed_loop_long_updown_theta10_v1,long_updown,ModernTCN,8,7,9,24,1
path_closed_loop_long_updown_theta10_v1,long_updown,LPV-MPC_oracle_theta,10,12,7,29,2
path_closed_loop_long_updown_theta10_v1,long_updown,GRU,19,10,9,38,3
path_closed_loop_long_updown_theta10_v1,long_updown,TCN,23,7,15,45,4
path_closed_loop_long_updown_theta10_v1,long_updown,LPV-MPC_IMU_theta,30,14,21,65,5
path_closed_loop_long_updown_theta10_v1,long_updown,LPV-MPC_theta0,36,13,23,72,6
path_closed_loop_sharp_turn_transition_theta10_v1,sharp_turn_transition,ModernTCN,11,6,10,27,1
path_closed_loop_sharp_turn_transition_theta10_v1,sharp_turn_transition,LPV-MPC_oracle_theta,9,13,7,29,2
path_closed_loop_sharp_turn_transition_theta10_v1,sharp_turn_transition,GRU,16,7,8,31,3
path_closed_loop_sharp_turn_transition_theta10_v1,sharp_turn_transition,TCN,24,8,15,47,4
path_closed_loop_sharp_turn_transition_theta10_v1,sharp_turn_transition,LPV-MPC_IMU_theta,30,15,23,68,5
path_closed_loop_sharp_turn_transition_theta10_v1,sharp_turn_transition,LPV-MPC_theta0,36,14,21,71,6
