run_tag,metric,direction,baseline,threshold,value,delta_vs_baseline_good_positive,pass
full128_light_theta_select_seed21,acc_main,>=,0.9669627984453082,0.9639627984453082,0.9508606329816769,-0.0161021654636313,False
full128_light_theta_select_seed21,acc_turn,>=,0.5788450860632982,0.5738450860632982,0.5788450860632982,0.0,True
full128_light_theta_select_seed21,acc_turn_transition,>=,0.4977645305514158,0.4977645305514158,0.46795827123695977,-0.02980625931445602,False
full128_light_theta_select_seed21,theta_mae_deg,<=,0.6793947815895081,0.6893947815895081,0.7480581402778625,-0.06866335868835449,False
full128_light_theta_select_seed21,flat_recall,>=,0.9695767195767195,0.9595767195767195,0.9457671957671958,-0.023809523809523725,False
full128_light_theta_select_seed21,stall_recall,>=,0.71875,0.66875,0.6354166666666666,-0.08333333333333337,False
full128_light_theta_select_seed21,slope_recall,>=,0.974909090909091,0.9699090909090909,0.9632727272727273,-0.011636363636363667,False
full128_light_theta_select_seed21,theta_edge_p95_abs_err,<=,2.755056858062744,2.755056858062744,2.909252166748047,-0.15419530868530273,False
full128_light_theta_loss_seed21,acc_main,>=,0.9669627984453082,0.9639627984453082,0.9558578567462521,-0.01110494169905607,False
full128_light_theta_loss_seed21,acc_turn,>=,0.5788450860632982,0.5738450860632982,0.5816213214880622,0.0027762354247640175,True
full128_light_theta_loss_seed21,acc_turn_transition,>=,0.4977645305514158,0.4977645305514158,0.47242921013412814,-0.025335320417287643,False
full128_light_theta_loss_seed21,theta_mae_deg,<=,0.6793947815895081,0.6893947815895081,0.7917922735214233,-0.11239749193191528,False
full128_light_theta_loss_seed21,flat_recall,>=,0.9695767195767195,0.9595767195767195,0.9722222222222222,0.002645502645502673,True
full128_light_theta_loss_seed21,stall_recall,>=,0.71875,0.66875,0.6770833333333334,-0.04166666666666663,True
full128_light_theta_loss_seed21,slope_recall,>=,0.974909090909091,0.9699090909090909,0.9610909090909091,-0.01381818181818184,False
full128_light_theta_loss_seed21,theta_edge_p95_abs_err,<=,2.755056858062744,2.755056858062744,3.934220314025879,-1.1791634559631348,False
full128_densepatch_theta_select_seed21,acc_main,>=,0.9669627984453082,0.9639627984453082,0.9514158800666297,-0.015546918378678498,False
full128_densepatch_theta_select_seed21,acc_turn,>=,0.5788450860632982,0.5738450860632982,0.6029983342587452,0.024153248195446952,True
full128_densepatch_theta_select_seed21,acc_turn_transition,>=,0.4977645305514158,0.4977645305514158,0.5171385991058122,0.019374068554396384,True
full128_densepatch_theta_select_seed21,theta_mae_deg,<=,0.6793947815895081,0.6893947815895081,0.5706025958061218,0.10879218578338623,True
full128_densepatch_theta_select_seed21,flat_recall,>=,0.9695767195767195,0.9595767195767195,0.9656084656084656,-0.003968253968253954,True
full128_densepatch_theta_select_seed21,stall_recall,>=,0.71875,0.66875,0.6145833333333334,-0.10416666666666663,False
full128_densepatch_theta_select_seed21,slope_recall,>=,0.974909090909091,0.9699090909090909,0.9592727272727273,-0.01563636363636367,False
full128_densepatch_theta_select_seed21,theta_edge_p95_abs_err,<=,2.755056858062744,2.755056858062744,2.4979312419891357,0.2571256160736084,True
full128_densepatch_theta_loss_seed21,acc_main,>=,0.9669627984453082,0.9639627984453082,0.9586340921710161,-0.008328706274292053,False
full128_densepatch_theta_loss_seed21,acc_turn,>=,0.5788450860632982,0.5738450860632982,0.579400333148251,0.0005552470849528035,True
full128_densepatch_theta_loss_seed21,acc_turn_transition,>=,0.4977645305514158,0.4977645305514158,0.4992548435171386,0.0014903129657228287,True
full128_densepatch_theta_loss_seed21,theta_mae_deg,<=,0.6793947815895081,0.6893947815895081,0.6188014149665833,0.060593366622924805,True
full128_densepatch_theta_loss_seed21,flat_recall,>=,0.9695767195767195,0.9595767195767195,0.966931216931217,-0.002645502645502562,True
full128_densepatch_theta_loss_seed21,stall_recall,>=,0.71875,0.66875,0.6145833333333334,-0.10416666666666663,False
full128_densepatch_theta_loss_seed21,slope_recall,>=,0.974909090909091,0.9699090909090909,0.9683636363636363,-0.006545454545454632,False
full128_densepatch_theta_loss_seed21,theta_edge_p95_abs_err,<=,2.755056858062744,2.755056858062744,3.384803295135498,-0.6297464370727539,False
