offline_proxy_score_rank_all,candidate_id,source_phase,run_tag,evidence_validity,evidence_tier,repair_status,superseded_by,offline_proxy_score,metric_missing_ratio,missing_metrics,prior_class_label,rank_eligible,has_config,has_metrics,has_report,has_checkpoint,eligible_for_strict_repair,acc_main,acc_turn,acc_turn_transition,theta_mae_deg,theta_edge_p95_abs_err,flat_peak_theta_error,flat_recall,stall_recall,slope_recall
1,uncertainty_seed101,E1_loss_optimization,uncertainty_seed101,historical_valid,missing_checkpoint,HISTORICAL,uncertainty_seed101_rerun_20260622,0.363054132620369,0,none,Class B,false,true,true,true,false,false,0.967518045530261,0.58717379233759,0.491803278688525,0.609225153923035,2.27067041397095,5.24426937103271,0.958994708994709,0.697916666666667,0.979272727272727
1,uncertainty_seed101_rerun_20260622,E1_loss_optimization,uncertainty_seed101_rerun_20260622,historical_valid,full,reused_existing_rerun_20260622,NaN,0.363054132620369,0,none,NaN,true,true,true,true,true,false,0.967518045530261,0.5871737923375903,0.4918032786885246,0.6092251539230347,2.2706704139709473,5.244269371032715,0.958994708994709,0.6979166666666666,0.9792727272727273
3,mode_theta_detach_flatreg001_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg001_seed21,historical_valid,missing_checkpoint,HISTORICAL,mode_theta_detach_flatreg001_seed21_rerun_20260622,0.406912682942915,0,none,Class B,false,true,true,true,false,false,0.969739033870072,0.581343697945586,0.482861400894188,0.616433382034302,2.65128898620605,6.06890773773193,0.966931216931217,0.666666666666667,0.981090909090909
3,mode_theta_detach_flatreg001_seed21_rerun_20260622,E4_mode_conditioned_theta,mode_theta_detach_flatreg001_seed21_rerun_20260622,historical_valid,full,reused_existing_rerun_20260622,NaN,0.406912682942916,0,none,NaN,true,true,true,true,true,false,0.9697390338700722,0.5813436979455858,0.4828614008941878,0.6164333820343018,2.6512889862060547,6.068907737731934,0.966931216931217,0.6666666666666666,0.9810909090909091
5,mode_theta_detach_flatreg003_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg003_seed21,historical_valid,missing_checkpoint,HISTORICAL,NaN,0.422917801135351,0,none,Class B,false,true,true,true,false,true,0.95835646862854,0.579400333148251,0.491803278688525,0.66687399148941,2.86994934082031,5.95268440246582,0.936507936507937,0.708333333333333,0.973090909090909
6,gradnorm_seed42,E1_loss_optimization,gradnorm_seed42,historical_valid,missing_checkpoint,HISTORICAL,NaN,0.431985729353428,0,none,Class D,false,true,true,true,false,false,0.964186563020544,0.57329261521377,0.511177347242921,0.745434284210205,2.47325444221497,6.47567939758301,0.951058201058201,0.6875,0.977454545454545
7,pg_alpha01_seed21,E3_physics_group_gate,pg_alpha01_seed21,historical_valid,missing_checkpoint,HISTORICAL,NaN,0.434068655796576,0,none,Class D,false,true,true,true,false,false,0.965852304275403,0.578012215435869,0.512667660208644,0.635008692741394,3.25379824638367,5.83133792877197,0.96957671957672,0.635416666666667,0.976363636363636
8,gradnorm_seed101,E1_loss_optimization,gradnorm_seed101,historical_valid,missing_checkpoint,HISTORICAL,NaN,0.44778433923581,0,none,Class D,false,true,true,true,false,false,0.966129927817879,0.573570238756247,0.517138599105812,0.757793664932251,2.85585355758667,6.3464093208313,0.961640211640212,0.697916666666667,0.976727272727273
9,mode_theta_detach_flatreg000_seed21,E4_mode_conditioned_theta,mode_theta_detach_flatreg000_seed21,historical_valid,missing_checkpoint,HISTORICAL,NaN,0.46702018399862,0,none,Class D,false,true,true,true,false,false,0.970294280955025,0.587451415880067,0.506706408345753,0.651508748531342,3.69294238090515,6.43447160720825,0.968253968253968,0.697916666666667,0.980363636363636
10,pg_alpha0_seed21,E3_physics_group_gate,pg_alpha0_seed21,historical_valid,missing_checkpoint,HISTORICAL,NaN,0.47007977396399,0,none,Class D,false,true,true,true,false,false,0.957245974458634,0.577734591893393,0.508196721311475,0.657722949981689,3.42216467857361,6.59794044494629,0.920634920634921,0.635416666666667,0.978545454545454
11,uncertainty_seed42,E1_loss_optimization,uncertainty_seed42,historical_valid,missing_checkpoint,HISTORICAL,NaN,0.491208187695891,0,none,Class A,false,true,true,true,false,false,0.967240421987785,0.564408661854525,0.497764530551416,0.875044822692871,3.42140817642212,5.89323759078979,0.94047619047619,0.697916666666667,0.984
12,uncertainty_seed21,E1_loss_optimization,uncertainty_seed21,historical_valid,missing_checkpoint,HISTORICAL,NaN,0.497828120496106,0,none,Class D,false,true,true,true,false,false,0.960022209883398,0.506662965019434,0.451564828614009,0.877005279064178,2.43688559532166,7.10931348800659,0.933862433862434,0.6875,0.976727272727273
13,fs_t05_s05_sm000_seed21,E2_hard_sample_loss,fs_t05_s05_sm000_seed21,degraded,degraded,PASS_CONTRACT_LIMITED,NaN,0.528626809465528,0,none,Class A,false,true,true,true,false,false,0.937257079400333,0.49000555247085,0.478390461997019,0.782417416572571,3.36475205421448,7.0348072052002,0.931216931216931,0.65625,0.948727272727273
14,fs_t02_s02_sm000_seed21,E2_hard_sample_loss,fs_t02_s02_sm000_seed21,degraded,degraded,PASS_CONTRACT_LIMITED,NaN,0.549501664260403,0,none,Class A,false,true,true,true,false,false,0.969739033870072,0.494447529150472,0.454545454545455,0.815965414047241,3.43683695793152,7.75571966171265,0.977513227513228,0.666666666666667,0.978181818181818
15,fs_t02_s05_sm000_seed21,E2_hard_sample_loss,fs_t02_s05_sm000_seed21,degraded,degraded,PASS_CONTRACT_LIMITED,NaN,0.583329399712353,0,none,Class A,false,true,true,true,false,false,0.955302609661299,0.464741810105497,0.442622950819672,0.915766716003418,4.25163745880127,6.19615650177002,0.953703703703704,0.677083333333333,0.965454545454545
16,gradnorm_seed21,E1_loss_optimization,gradnorm_seed21,historical_valid,missing_checkpoint,HISTORICAL,NaN,0.593313858033276,0,none,Class A,false,true,true,true,false,false,0.969739033870072,0.488062187673515,0.405365126676602,0.84185653924942,4.09931325912476,7.53989839553833,0.966931216931217,0.666666666666667,0.981090909090909
17,fs_t05_s02_sm000_seed21,E2_hard_sample_loss,fs_t05_s02_sm000_seed21,degraded,degraded,PASS_CONTRACT_LIMITED,NaN,0.599743918746685,0,none,Class D,false,true,true,true,false,false,0.956690727373681,0.483897834536369,0.506706408345753,0.954511821269989,3.75390338897705,8.25022983551025,0.931216931216931,0.697916666666667,0.972727272727273
