candidate_id,run_id,stability_label,final_class,J_control,rank_by_J_control,closed_loop_v2_status,closed_loop_v2_failures,n_paths,ey_rmse_mean,xy_rmse_mean,epsi_rmse_mean,j_du_mean,omega_cmd_rms_mean,main_acc_pct_mean,turn_acc_pct_mean
uncertainty_seed101_rerun_20260622,uncertainty_seed101_rerun_20260622,reference,Reference,0.94411711953914,1,pass,none,3,0.0296269727303799,0.553890709479584,0.0379209992142139,4.68786764219691,0.0710415972600494,92.4382837181255,53.9766889668855
u04_lwlr0030_seed101,u04_lwlr0030,reject_seed_fragile,SandboxOnly,0.994500971280381,2,pass,none,3,0.0384504567494784,0.610169084544864,0.0386577877304918,3.81419771970132,0.0757644568249032,92.3078111057452,48.5299907083239
baseline_lock,baseline_lock,reference,Reference,1,3,pass,reference,3,0.0340541598964198,0.600747319384481,0.0395281150431306,4.73336252454802,0.0725761346213963,94.4445123562036,53.6149667029795
u23_turn_protect_mix_seed101,u23_turn_protect_mix,reject_seed_fragile,Reject,1.11843007159664,4,pass,none,3,0.0273607695450857,0.454827384936103,0.0343696691138807,10.0721888247279,0.0750571953502384,92.510338421068,50.0399653064443
u17_ltheta050_seed101,u17_ltheta050,reject_seed_fragile,Reject,1.14802018530689,5,pass,none,3,0.0446762155882574,0.551784161935151,0.0385152889351932,6.66542787308775,0.0818027938621868,92.6496171448335,52.8159441044488
u18_ltheta065_seed101,u18_ltheta065,reject_seed_fragile,Reject,1.15987516883025,6,fail,closed_loop_main_acc_drop=0.0360452>0.03,3,0.0267490124940972,0.481011112582149,0.0368448766396741,10.5514256808859,0.0763446201749606,90.8399935076638,52.8147191464588
u06_lr0013_seed101,u06_lr0013,usable_seed_sensitive,Reject,8.10743122087677,7,pass,none,3,0.287518692686831,4.26362770150472,0.140271321722964,85.2661313971459,0.249259798591422,92.149762024404,42.842289635642
