theta_bin_deg,n,mae_deg,rmse_deg,bias_deg
"[-10.0, -8.0]",0,NaN,NaN,NaN
"[-8.0, -6.0]",55,0.388239962933312,0.465384412203369,0.257799911681584
"[-6.0, -4.0]",91,0.346645435443276,0.533760977453133,-0.143651251222445
"[-4.0, -2.0]",82,1.30502959896429,1.9036532672756,0.146185383752498
"[-2.0, 0.0]",55,0.758433687405954,1.20025912458542,0.55378034881738
"[0.0, 2.0]",1254,0.458771074728746,1.09444370975288,-0.0979112527559805
"[2.0, 4.0]",51,0.401867722144674,0.699419454905251,-0.270034920424106
"[4.0, 6.0]",184,0.376446537805572,0.544131513017716,-0.0619441013429785
"[6.0, 8.0]",68,0.530782982903365,0.824683403353218,-0.182655076669804
"[8.0, 10.0]",0,NaN,NaN,NaN
